Title,YouTube Link,brief_desc,Built With,By,Location,cluster
Insight AI Web,https://www.youtube.com/watch?v=3mp1f698lYk,"The application extracts relevant content from web pages, generates a detailed summary, and provides accurate answers using Gemini's natural language processing capabilities.",Web/Chrome,Insight AI Team,India,1
Insta Solve,https://www.youtube.com/watch?v=IYkIOJWMwHc,"The application uses Google Gemini API to generate solutions to questions via image or text, providing customized answers based on user input and chosen subject.","Flutter, Google Text-To-Speech",Harsh Narayan Jha,India,1
InstagenAI,https://www.youtube.com/watch?v=wMGt7Nv_C6A,"The application uses web scraping and AI technology to extract relevant content from online sources, providing users with a list of questions associated with their keyword, along with suggested blog topics and SEO optimization features.",Web/Chrome,COMPLIT,India,0
Insurance Notifier,https://www.youtube.com/watch?v=R5Kofzk8g9U,"The application helps users manage their insurance policies by providing timely reminders for renewal, securely storing data in Firebase Firestore and SharedPreferences, and sending notifications to ensure on-time renewals.","Android, Firebase",Team Insurance Finance,India,0
Intelli Tutor,https://www.youtube.com/watch?v=7j62wzZGNnQ,"The application is a course generator that uses AI to create sections and explanations for a given topic, with features such as quizzes, analysis, tailored learning experiences, and integrations like Google Firebase.","Flutter, Android, Web/Chrome, Firebase",Yashwaaaanth,India,0
Interview Bot,https://www.youtube.com/watch?v=msmokZpDJ1M,"The application is a cutting-edge platform that uses AI technology to revolutionize the interview process for both job seekers and recruiters, offering comprehensive solutions for preparation, practice, and evaluation.",,Lone Wolf,India,0
Interview Prep Helper,https://www.youtube.com/watch?v=nphH2ZhLgdQ,"The application takes user input (topic of interest and required skill level) and uses a generative AI backend to evaluate and suggest answers, providing a summary of performance and suggestions for improvement.",Web/Chrome,MeghaAgarwal,India,0
IntervwAI,https://www.youtube.com/watch?v=CMVgp9e1h3U,"The application provides a simulated interview experience with AI interaction, offering users live interviews, comprehensive evaluation reports, best-practice answer suggestions, and dynamic question generation using Gemini API for accurate metrics and feedback.",Web/Chrome,Xamin,India,1
IRO-The Colour Analyser,https://www.youtube.com/watch?v=ud6EwaeRdgc,"The application uses AI to analyze a user's color palette by uploading a photo, then provides personalized fashion recommendations based on the analysis and Gemini API data.",Web/Chrome,Team Doom,India,1
iVA Mate,https://www.youtube.com/watch?v=HuqK6xTK5kc,"The application uses Google's Gemini API to provide personalized, contextually relevant responses to user inputs, including both text and visual data.",ARCore,Team iVA Mates,India,1
JARVIS - A Virtual Assistant,https://www.youtube.com/watch?v=aNvMHQ20ReM,"The application leverages Google Gemini's API to provide a comprehensive and intuitive AI-powered assistant that can understand complex queries, generate dynamic content, and offer accurate information in real-time. It is designed to handle various tasks, including answering questions, performing operations, and providing recommendations.","Web/Chrome, ReactJS, Javascript, Vite",Aman Pareek,India,1
Jarvis AI 2,https://www.youtube.com/watch?v=AgptBVNCzj4,"The main use case of this application is to provide a helpful digital assistant that simplifies life by managing smart home devices and sharing files with ease, using a user-friendly interface.","Android, Web/Chrome, Firebase, Android Studio",Jarvis v13,India,0
Jatin Chauhan,https://www.youtube.com/watch?v=u5LRv0uJsJ0,"The application provides comprehensive safety protection through voice-activated alerts, real-time location sharing, smart siren, and contextual safety information, using AI-powered features such as Gemini AI to analyze user data.","Android, Web/Chrome, Google Maps API",JC,India,1
JKKN pathfinder,https://www.youtube.com/watch?v=4RitOsUzUMw,"The application provides personalized career guidance through self-assessment tools, goal-setting modules, and progress tracking, offering students comprehensive support for navigating their academic journey and achieving professional goals.",Web/Chrome,JKKN Institution,India,0
Job Search Engine,https://www.youtube.com/watch?v=AWdfY_LpFok,"The application uses Google Cloud's backend service to provide an authentic job search engine, generating results from authorized government websites using Gemini Agent Builder.",Web/Chrome,Cool Co-Worker,India,1
JobReadyCV,https://www.youtube.com/watch?v=Esl05irnu3Q,"The application helps job seekers create ATS-friendly CVs by analyzing job descriptions, identifying important keywords, and optimizing content for better screening by applicant tracking systems (ATS).",Web/Chrome,Creative Devs,India,0
JustPrompt.ai,https://www.youtube.com/watch?v=XNejlBcillc,"The application uses AI-powered tools to help small businesses create and manage their online presence, offering a no-code platform for creating professional websites in minutes with pre-built templates and real-time analytics.","Web/Chrome, Firebase",Duo-core,India,0
Kahani AI: Revolutionising Bedtime story,https://www.youtube.com/watch?v=9U5J2Jdrqac,"The application generates personalized stories tailored to a child's interests, reducing screen time and teaching moral values through engaging narratives that stimulate creativity and emotional growth.",,"Team Kahani (Sruthi, Astik)",India,0
KahaniAI,https://www.youtube.com/watch?v=6E0d_nxzb5w,"The application uses Gemini API for text generation and stability AI to create stories, offering two main options: generating a story only or a complete cover along with the story.",Web/Chrome,DevCodeX,India,1
Kalendar AI,https://www.youtube.com/watch?v=oKRbBo7pkGg,"The application uses Google's Gemini API to provide intelligent scheduling and personalized productivity insights, offering real-time solutions for time management. It utilizes natural language processing, machine learning, and data analysis to adapt to user needs and resolve scheduling conflicts.",Web/Chrome,abhisheksan,India,1
Kanzo Equity,https://www.youtube.com/watch?v=2YPvcLR8CE8,"The application is an AI Equity Research Agent that streamlines research and reporting for equity agents, providing them with relevant data at their fingertips to increase efficiency and precision.",Web/Chrome,Kanzo,India,0
Kashitokaru,https://www.youtube.com/watch?v=J08GP2iaaeE,"The application enhances digital communication with real-time messaging, file sharing, and AI-driven features through a combination of WebSockets, Firebase, React, Tailwind CSS, Express, MongoDB, and Google OAuth, providing a secure and scalable user experience.","Web/Chrome, Firebase, Google Sign-In, Google Cloud",Arnav Arora,India,0
KEERTHAN M,https://www.youtube.com/watch?v=uzrhS5UtaOM,"The application provides a comprehensive travel assistance platform that uses AI-powered chatbots to deliver detailed information about destinations worldwide, enhancing user experiences through accurate and contextually rich data.",Web/Chrome,RED,India,0
Ketu AI,https://www.youtube.com/watch?v=a4Z28DoRnd0,"The application provides a cutting-edge AI chatbot experience, offering contextually appropriate responses to various digital materials such as photographs, audio files, and general enquiries. It utilizes advanced features like RAG (Retrieve and Generate) for precise reference page numbers and accurate answers based on video timestamps.","Android, Compose Multiplatform",Ketu,India,0
KidsCraft,https://www.youtube.com/watch?v=vrij0WHAo3s,"The platform allows kids and teenagers to showcase and sell their creations, fostering entrepreneurship from an early age through a seamless experience with easy account creation, product addition, and buyer exploration.","Web/Chrome, Firebase",AutoDapp,India,0
Klae.ai,https://www.youtube.com/watch?v=ZhyuA63Qgw8,"The application uses a proprietary API, specifically the Gemini 1.5 Flash API, to enable web content creation and optimization at scale without coding. It transforms complex HTML code into an editable JSON format, allowing for efficient and precise generation of web content.","Web/Chrome, Google SSO for authentication",Bytecompass x Bulkpe,India,1
Knowledge Gem,https://www.youtube.com/watch?v=PSUe2zZHBtA,"The application allows users to take a test by entering a topic and selecting the number of questions they want, then it uses a Gemini API model to generate responses in JSON format.",Flutter,Jagadeesh,India,1
knowyoursnack,https://www.youtube.com/watch?v=Cy7Vl4gwsmA,"The application provides AI-driven ingredient insights to empower users in making healthier choices, focusing on processing a description of an AI assistant that helps with this functionality.",Web/Chrome,prodbuild,India,0
Kraqn,https://www.youtube.com/watch?v=V9S4VsHj1aI,"The application uses Gemini's AI capabilities to enable self-checkout in stores, eliminating queues and billing hassles while tracking sales for store management.",Firebase,,India,1
Krika,https://www.youtube.com/watch?v=aWlPChh0-1w,"The application is a chatbot that integrates various plugins, such as Gmail, Calendar, News, and Search, into a unified interface to simplify users' digital lives by providing fast and accurate responses across multiple tasks.","Firebase, ",Krika,India,0
KT - Knowledge Test,https://www.youtube.com/watch?v=rJ53pCnnHbU,"The application generates insightful questions from study materials using AI-powered technology, allowing users to test and reinforce their knowledge.","Web/Chrome, React and NodeJs",Timepause,India,0
KV Nexus,https://www.youtube.com/watch?v=h7Gdr5t98kw,"The application utilizes a Gemini API to provide advanced text completion, image analysis, and predictive capabilities, enhancing user experience through innovation and accuracy.",Web/Chrome,KV Nexus,India,1
Label Check,https://www.youtube.com/watch?v=yLrWlS6a0Pk,"The application provides a platform for consumers to analyze product ingredients, categorize them as safe, risky, or dangerous, and receive a safety score based on their analysis using the Gemini API.","Web/Chrome, Firebase",Team Label Check,India,1
Label Lens,https://www.youtube.com/watch?v=KzDLcl47LGI,"The Label Lens app uses AI to decode product ingredient lists by capturing images of labels, analyzing them with Gemini API, and generating detailed reports on each ingredient's common uses, benefits, risks, allergens, and scientific explanations.","Android, Firebase integration soon for pro users when live. Also react native so works for both Android and ios",Deepak Banswan,India,0
Lamjingshai Lyngdoh,https://www.youtube.com/watch?v=tdrMYCm4K_I,"The application provides a personalized learning experience through five features: stories, math quizzes, spelling bee, image identification, and chat with an AI bot. It uses dynamic, AI-driven content to adapt to children's learning needs, making it an interactive and engaging tool for growth.",Android,Lamjingshai,India,0
LandGuard,https://www.youtube.com/watch?v=R8b-GFcKoXQ,"The application uses advanced AI technology to provide real-time alerts and vital information for natural disasters, such as landslides and severe weather, helping users stay safe.",Web/Chrome,,India,0
Lawsage,https://www.youtube.com/watch?v=W341qNjb3A0,"The application uses a RAG-based model to provide precise answers to Indian law queries, leveraging training on the Indian Penal Code and Constitution, and is currently a rudimentary prototype with potential for future expansion.",,XtremeImmortal,India,0
Learn Crafts and DIY Arts,https://www.youtube.com/watch?v=1Atw8WW1Bhs,"The application provides personalized crafting tutorials, eco-friendly ideas, 24/7 support, and gamified challenges to help users learn and improve their crafting skills. It also offers a multimodal input feature that recognizes images, voice, and text input.","Android, Web/Chrome, Firebase",Riafy Technologies,India,0
Learnability.ai,https://www.youtube.com/watch?v=3irTU4HJL3Y,"The application uses active recall, spaced repetition, AI-powered conversations, revision mode with practice questions, flashcards, and mind maps to create an efficient learning experience by addressing doubts and enhancing responses through Retrieval Augmented Generation (RAG).",Firebase,The Seven,India,0
LearnEase,https://www.youtube.com/watch?v=Xr5ama-MyuU,"The application uses AI-driven tutoring to provide personalized education experiences, allowing users to upload educational materials and interact with them through natural language queries and summaries powered by Google's Gemini API.","Web/Chrome, Firebase",Team Rolex,India,1
LearnQuest 1,https://www.youtube.com/watch?v=tuKytdkAPrc,"The application uses advanced AI capabilities to create a dynamic, personalized learning environment that transforms traditional learning methods into interactive and engaging experiences. It leverages Gemini's natural language processing and understanding technologies to analyze user input, provide real-time feedback, and generate customized learning paths.",Web/Chrome,LearnQuest,India,1
LearnTuber,https://www.youtube.com/watch?v=eNqQLgIgvqQ,"The application generates AI-generated summaries and quizzes for YouTube videos using the Gemini API, providing a seamless learning experience by bridging the gap between free content and premium paid courses.",Web/Chrome,Nirbhay Sirsikar,India,1
Leetcode analytic,https://www.youtube.com/watch?v=pu6F28N60u8,"The application provides dynamic insights into a user's LeetCode data, offering visual and tabular analysis to track progress and identify areas for improvement. It also offers interactive topic analysis and curated study paths to enhance preparation.",,Dvaita,India,0
LegalEase : Justice Simplfied,https://www.youtube.com/watch?v=VWuPNbokg8Y,"The application uses a virtual judge powered by Gemini LLM to streamline the judicial process, facilitating online proceedings for civil cases involving illegal misconduct. It analyzes case details, verifies evidence, and provides real-time feedback on next steps.",,Team FUNGINEERING,India,1
Let's Split AI,https://www.youtube.com/watch?v=Naco-En4eRo,"The application utilizes AI to process images and natural language (voice clips) to accurately identify user needs, simplifying everyday life by automating tasks.","Flutter, Android, idx",Simple Savvy Crew,India,0
Let's workout,https://www.youtube.com/watch?v=uFJea6HdGRg,"The application is a personalized fitness app that uses AI, React.js, and Firebase to provide users with customized diet and workout plans, track their nutrition and workouts, and offer insights into their fitness journey.","Web/Chrome, Firebase",Coding Sarathi,India,0
Litt Labs,https://www.youtube.com/watch?v=knR2fE35s58,"The application is a learning companion that provides personalized roadmaps, query solvers, deadline management, and feedback tools to help users achieve their goals. It also offers advanced features such as vision analysis, summarization, and task generation for skill-building.","Web/Chrome, Firebase","Ikjot Singh, Prisha Sawhney, Harshita Khattar, Anmol Mago",India,0
Liza,https://www.youtube.com/watch?v=dToRdAnYHoE,"The application uses advanced AI technology to engage users in meaningful conversations, providing a virtual companion that offers personal support and motivation through voice recognition, natural-sounding responses, and thought-provoking questions.",Web/Chrome,Rohit Tiwari,India,0
Loop 2,https://www.youtube.com/watch?v=Iewq5Liv8q8,"The application is a social media platform for coders and developers, where users share projects, connect with peers, and participate in coding challenges through a home feed that prioritizes content related to coding or development. It utilizes the Gemini API to filter out non-coding-related posts and ensure fair and relevant assessments of user skills.","Android, Firebase",Gajanan Palepwad,India,1
LoreHunter,https://www.youtube.com/watch?v=HRCC2XdjLTA,"The application generates walking tours in a city, including transcript and audio guides, using Gemini to select locations and generate audio content. It also offers an alternate prompt for fictional world-based walking tours.","Flutter, Android, Google Maps",pixelify,India,1
Lucy,https://www.youtube.com/watch?v=tCnPFARnaO4,"The application provides mobile control, AI-powered question answering, real-time updates, media control, code execution and debugging capabilities through various technologies such as ADB and API integration.","None, Web/Chrome",Chandrapratap Suryavanshi,India,0
Lumina AI,https://www.youtube.com/watch?v=zoFjiWQLIgE,"The application is a web-based software engineering companion that helps users clarify complex, undocumented projects by analyzing GitHub repositories and providing insights through a chat interface, codebase summarization, file identification, onboarding guide generation, architecture explanation, and code generation capabilities.",Web/Chrome,Zettamask,India,0
MAG,https://www.youtube.com/watch?v=LEdufcq2bDI,"The application is a personal desktop companion that uses various technologies to provide personalized assistance, including speech recognition, camera access, and health monitoring. It aims to improve users' lives by reminding them of tasks, providing nutrition information and recipes, and offering cooking suggestions.","Android, Firebase",,India,0
Mail2Do,https://www.youtube.com/watch?v=pzM65DJPdrI,"The application helps users transform their email clutter into a task management system by scanning emails, extracting tasks, and organizing them in a clear list. It uses Google's Gemini LLM for accurate task extraction.",OAuth2 and Gmail API,,India,1
malayaleeai,https://www.youtube.com/watch?v=nZbhLv2FKu8,"The application is a web-based translation tool that uses Gemini API, Helsinki NLP, and Flask to translate text from Malayalam to English and vice versa, with an optional ASR model for audio detection and TTS model for text-to-speech conversion.",Web/Chrome,malayalee AI - Afnan,India,1
MateVerse,https://www.youtube.com/watch?v=AOnNHJ8NH6M,"The application uses AI to mimic a real-world dating scenario, with a core component called Gemini that learns about users through friendly conversations and is then used in conjunction with other agents to find potential matches.","Web/Chrome, Firebase",,India,1
Math Warrior,https://www.youtube.com/watch?v=-5rUtjOeyxQ,"The application is a game where a user, guided by a friendly AI assistant named ""Friend"", attempts to guess the identity of an important political/public figure based on randomly chosen clues such as nationality and nicknames. The Friend provides hints to help the user narrow down the possibilities.",,the_AshishGuy,India,0
Maya,https://www.youtube.com/watch?v=e-lBN_2cqXs,"The application is a powerful AI assistant that combines multimodal conversational capabilities, computer vision, and audio processing using the Gemini API. It enables users to engage in intelligent conversations, analyze images, access accurate information, and manage tasks with natural language interactions.","Web/Chrome, Google Generative AI Embeddings for RAG",Ahad Malik,India,1
Meal Mate 2,https://www.youtube.com/watch?v=nIc8BzVK-m4,"The application is a Flutter-based meals app that provides a wide range of recipes categorized by cuisine, with a tab-based navigation system and filter options to refine content based on dietary preferences.","Flutter, Firebase",,India,0
MedBuddy,https://www.youtube.com/watch?v=bXUWwLuLd_8,"The application provides a comprehensive health information platform that combines image-based data extraction, AI-powered information retrieval, and user health data tracking using various technologies such as the Gemini Chat API and Google ML Kit.","Firebase, Google ML Kit &gt; Text recognition",MedBuddy,India,1
Mediator App,https://www.youtube.com/watch?v=x88ud77ccek,"The application uses the Gemini API to facilitate conflict resolution by guiding conversations between two individuals, with a mediator (GAi) listening and offering guidance to help resolve issues and improve understanding.","Flutter, Android, Web/Chrome, Firebase",Aginjith G J,India,1
Medical Report Analyzer,https://www.youtube.com/watch?v=tcgSbgaUz9o,"The application uses AI to analyze medical reports, providing clear descriptions, disease lists, medicine recommendations, translations, and personalized answers through a chat interface.",Web/Chrome,Zappers,India,0
Medident,https://www.youtube.com/watch?v=DdCjongmEZU,"The application allows users to upload an image of their medication, which is then analyzed using a Gemini API. The analysis provides a concise response with information on the medicine's uses, recommended usage, precautions, and potential side effects.",,Muhammed Ameen,India,1
MEDIEASE,https://www.youtube.com/watch?v=8x-lpsLMQhI,"The application provides personalized health, fitness, and nutrition insights through a web-based interface that leverages the Gemini API to deliver tailored content based on user queries and preferences.",Web/Chrome,TEAM VORTEX,India,1
MedifyAI,https://www.youtube.com/watch?v=rR-Y1omSNEg,"The application provides users with detailed information about medicines, pills, and general health topics through an intuitive web interface that allows uploading images or text for processing by a Gemini API-powered core functionality.","Web/Chrome, Firebase",MedifyAI,India,1
Medilyzer,https://www.youtube.com/watch?v=HoNyEwS0IL0,"The application uses Google's Gemini AI to analyze generic medicines, providing users with quick and accurate insights through a user-friendly platform that includes features such as classification, comparison, and prescription analysis.","Firebase, Google custom search api",Phoenix Wizards,India,1
MediMitra,https://www.youtube.com/watch?v=5y-qU78RvOE,"The application provides users with accurate, professional-like medical advice through a chat interface that uses AI-generated responses to mimic a medical assistant.","Flutter, Android",KRS App Dev Team,India,0
MediSnap,https://www.youtube.com/watch?v=ofpO08eKlBs,"The application leverages Gemini Flash 1.5 AI companion to provide instant medical help, offering advice, and guiding users through health-related queries with advanced capabilities such as text and image inputs and multi-turn conversations.","Flutter, Firebase",Aditya Gupta,India,1
MedLens,https://www.youtube.com/watch?v=xdrwu12raZc,"The application provides detailed information about medications through image analysis, allowing users to identify and access critical health data in their preferred language.",Flutter,MedLens,India,0
Memorease,https://www.youtube.com/watch?v=Ig_ZIih9nhA,"The application assists individuals with Alzheimer's and Dementia by providing a journaling system that uses text-to-speech, speech-to-text, and Gemini API features to track life events and memories.","Android, Firebase, Google Maps",TeamMemorease,India,1
MeowTation,https://www.youtube.com/watch?v=CS0PcRJhzrE,"The AI assistant extracts a conversational companion that uses natural language processing (NLP) to understand user queries, provide informative and engaging answers, and generate creative content.",Flutter,MeowDev,India,0
Merge Docs Pro,https://www.youtube.com/watch?v=ob3F64XNvN4,"The application combines multiple documents into a single, cohesive document using Gemini-powered technology, allowing users to merge existing docs or generate new content with ease and enhance collaboration through output files.",Google Apps script to develop the Google Workspace Add on,Vikram Aruchamy (Thinksolv technologies),India,1
mermaid mind,https://www.youtube.com/watch?v=RNT67PuKcgY,"The application is an online tool that allows users to create MermaidJS diagrams, customize its editor, and share them publicly via a unique URL.",Web/Chrome,Orion,India,0
MH24 GPT AI CHATBOT,https://www.youtube.com/watch?v=sk3bGSbynFc,"The MH24 GPT AI Chatbot is a versatile chatbot that uses Google Gemini API to provide instant responses, assist with tasks, and offer quick information or assistance.",Android,Onkar Shriram Somvanshi,India,1
Mind Guru,https://www.youtube.com/watch?v=ox8BedCHFW4,"The application is a personalized mental health assistant that uses AI to provide tailored solutions for users' problems, leveraging Google's Gemini API and other technologies such as Android Studio, Firebase, and Google Speech AI.","Android, Firebase, Google Cloud (Speech API)",Devendra S,India,1
Mind Incepted Art,https://www.youtube.com/watch?v=rPFqRHgp7P8,"The application captures brain signals, converts them to audio, and uses a deep learning pipeline to generate art from the signal. It also utilizes Gemini API's vision capabilities to seed video generation based on image interpretation.",Python,dhxmo,India,1
Mindsync 1,https://www.youtube.com/watch?v=zdjSL1LOzn8,"The application uses AI to create mindmaps in seconds, allowing users to easily organize and visualize information. It enables users to attach various types of content and edit their mindmaps using a user-friendly interface powered by Gemini technology.",Web/Chrome,Existence,India,1
MindSync 2,https://www.youtube.com/watch?v=qYphyPZTWU4,"The application provides real-time chat support, personalized wellness plans, and sentiment analysis through an AI-powered interface that leverages the Gemini API.",Firebase,,India,1
MiNoters,https://www.youtube.com/watch?v=2ZgxDhobyVA,"The application utilizes the Gemini API for intelligent note-taking, Firebase for secure storage, and Google APIs for diverse input options to provide a robust and adaptable note management system.","Android, Firebase",MiNoters,India,1
Mishrasujit,https://www.youtube.com/watch?v=Wq0-798DiRw,"The application automates resume processing, matching candidates with job requirements using a standardized method, and filtering and scoring candidates to provide a ranked list of potential hires.",,Byte Busters,India,0
Mivro: Scan It. Know It.,https://www.youtube.com/watch?v=ToXUq-NSkUg,"The app provides a barcode scanning feature for various products, including foods, drinks, cosmetics, medicines, and pet foods, with detailed ingredient information and health risk identification. It also offers meal tracking, marketplace discovery, browser extension integration, recipe chatbot, and scan history features to enhance user experience and nutritional management.","Flutter, Web/Chrome, Firebase, Google Compute Engine, Docker, Project IDX, Algolia, OpenFoodFacts API, GitHub Actions",1Mind Labs,India,0
MockStar,https://www.youtube.com/watch?v=XMEVVEjnWcM,"The application uses AI-powered technology to simulate realistic job interviews, providing users with customized questions, feedback, and scoring to enhance their interview skills and confidence.",Web/Chrome,Vibhav,India,0
Mohamed amaan,https://www.youtube.com/watch?v=f1jYz2TRhlo,"The application uses Gemini API to create user profiles, validate user inputs, and generate feedback and rating data based on Gemini's results.",Web/Chrome,Mock Ai job seizer,India,1
Moonolog,https://www.youtube.com/watch?v=ybJlM0FV11E,"The application is a digital journal where users can express themselves freely, with advanced AI-powered analysis of their emotions and insights on goal-achieving patterns. It offers personalized affirmations, motivational quotes, and prompts to help users stay motivated and track daily progress.",Web/Chrome,anirudhisonline,India,0
Mr. AlmostMD,https://www.youtube.com/watch?v=ADpVf8kDJN0,"The application helps users understand medical reports by using a combination of image recognition (Gemini API) and natural language processing (RAG knowledge base). It extracts medical details from reports, allows users to ask questions, and provides answers through AI assistance.",Web/Chrome,KoushikS,India,1
Multi AI Tools,https://www.youtube.com/watch?v=D0c_iUmeLfw,"The application is a comprehensive app built on Google Gemini's advanced technology, offering three powerful modules: AI Image Search Engine, AI Amazon Product Review, and AI Resume Review. It provides accurate and detailed results to help users make informed decisions in various aspects of their lives.","Flutter, Firebase, Python",Rubbalpreet Singh / Renu Sangwan,India,1
MUNify,https://www.youtube.com/watch?v=4afZApy5xRI,"The application uses Firebase Authentication, Firestore for user profiles and live chat, Google Vision API for text extraction from PDFs, Gemini AI for generative AI interactions, and Firebase Hosting with secure data storage on Storage to provide a seamless MUN experience.","Flutter, Firebase, Vertex Ai","Ishaan Anand, Siddharth Agrawal",India,0
My Buddy,https://www.youtube.com/watch?v=zZEh9CoZUlw,"The application provides three modes of support: friend, parent, and counselor, which offer emotional advice and conversation based on user input. The conversations are stored in a database for future reference.","Web/Chrome, Google Auth",BuddyBros,India,0
My Content Creator,https://www.youtube.com/watch?v=jcO1yfDVHuA,"The application generates short videos from text prompts, media files, and analytics data using Gemini's AI technology. It also allows users to track video performance and generate comments through a prompt-based editor.","Web/Chrome, YouTube Data API v3, YouTube Analytics API, Google Drive API, Cloud Text-to-Speech API, Cloud Translation API",ayushpaultirkey,India,1
My mentor Buddy,https://www.youtube.com/watch?v=c_cOTpF40ss,"The app helps students enhance their studying experience by providing a platform for learning and organization, utilizing advanced technology to streamline study processes.","Android, Firebase",Team My Mentor Buddy,India,0
MyHealth Passport,https://www.youtube.com/watch?v=cY1sU-AKsRY,"The application allows patients to securely store and access their medical data using a unique medical ID, with features such as secure authentication, cloud storage, and image analysis using the Gemini API.","Android, Firebase, Android Studio",DevDroid,India,1
mymedic,https://www.youtube.com/watch?v=h74G8Ya6TKA,"The application uses AI analysis from Gemini API to provide users with detailed information about their prescribed medications, ensuring accuracy and boosting user confidence in treatment plans.",Web/Chrome,Shantanu Singh,India,1
Nash Negotiate,https://www.youtube.com/watch?v=KCgWXFLkjdc,"The application is a turn-based strategic game where two players, represented by an AI assistant, cooperate to survive in a hazardous location for a short time. The goal is to maximize resource gain through cooperation and Nash Equilibrium, a concept that balances individual and collective decision-making.",Android,,India,0
Nataraj AI,https://www.youtube.com/watch?v=JWwAxEzxdR8,"The application uses AI to generate dance choreography based on user input, including music selection and preferred dance form, and renders it in 3D for users to practice and view from different angles.","Flutter, Web/Chrome, Firebase, Google Cloud",Haxk (pronounced as Hacks),India,0
NAYA_AI,https://www.youtube.com/watch?v=mRD71E5tJok,"The application uses Gemini API to provide a user-friendly interface for querying and text input, enabling accurate and context-specific results through natural language processing capabilities.","Flutter, Android",yaduvanshi,India,1
Netrikann-AI (com.mahios.netrikannai),https://www.youtube.com/watch?v=1dU1iYKNvI4,"The application provides skill testing features across various domains, including job seekers, students, teachers, and general knowledge users, utilizing the Gemini API client library for comprehensive coverage.",Android,MahiOS,India,1
Neuro Pulse,https://www.youtube.com/watch?v=kFUHKx5NUGo,"The application uses AI-powered learning to create personalized study plans, adaptive quizzes, and intelligent feedback for mastering exams. It utilizes Gemini's API to analyze users' needs and generate engaging study materials.",Web/Chrome,Neuro Pulse,India,1
News.it,https://www.youtube.com/watch?v=NVDbOFK7t_U,"The application allows users to generate their own podcasts by selecting from various audio options, such as text, music, and voice. It utilizes AI technology to create unique content.",Web/Chrome,Newsitters,India,0
NewsGram.AI,https://www.youtube.com/watch?v=7VqmZ-UvKzQ,"The application fetches live news from Google News, summarizes it using Gemini API's intelligence, creates short-form videos with images and captions, and uploads them to Instagram automatically.","None, Python, Docker",VerticalVision,India,1
Newsic.ai,https://www.youtube.com/watch?v=1S2nNvvNb5g,"The application uses an AI-powered news app that delivers personalized news content through various modes, including a narrative mode with Arkfox's voice narration and a summary mode for quick updates. It also features an interactive ""ask back"" feature allowing users to ask questions and receive instant responses from Arkfox.","Flutter, Android, Web/Chrome",Arkroot,India,0
Newspodify,https://www.youtube.com/watch?v=A_azjAcVnes,"The application allows users to convert their printed newsletters into an audio format, providing a convenient way to consume content on-the-go.",Web/Chrome,"Jason Dsouza, Siddhant Mohile, Arnav Bhandari",India,0
NextFind,https://www.youtube.com/watch?v=0YEej99Nf5w,"The platform is an AI-enabled job search, interview preparation, and hiring management tool that streamlines the job application process for users.",Web/Chrome,NextFind-AI Agents in Action,India,0
Next-Gen AI for all your daily routine,https://www.youtube.com/watch?v=NX5PwKmuG2I,"The application integrates Streamlit, AI capabilities, WhatsApp, and a DIY Recommender system to provide a unified user experience for various tasks, including text generation, image analysis, navigation assistance, code snippets, video generation, and waste management suggestions.","Web/Chrome, Firebase, Gemini API, Youtube API Key, Programmable search engine, Custom search api key",Next Gen AI,India,0
Nexus,https://www.youtube.com/watch?v=Xam0QQqwIn8,"The application uses AI-powered features to guide users through their career journey, providing personalized recommendations, skills-building resources, and job matching capabilities to help them find a suitable career path.","Flutter, Android, Web/Chrome",Phantom,India,0
Nexus AI 1,https://www.youtube.com/watch?v=PJ-y6nkGbFI,"The application utilizes advanced natural language processing capabilities from the Gemini API to provide an intuitive user experience, offering personalized interactions for various tasks and making it a versatile tool for day-to-day use.",Android,Suchesh's Neural Nexus,India,1
Ninaiva: Learning partner,https://www.youtube.com/watch?v=F2M-f6P6cIo,"The application uses machine learning to automate study tasks, such as creating flashcards, quizzes, and summaries from scanned study materials. It personalizes revision schedules through spaced repetition based on performance and offers a streak feature to keep users motivated.","Android, Firebase",dfeverx,India,0
Noir Chronicles,https://www.youtube.com/watch?v=eoLmIh4GOTI,"The application uses a dynamic storytelling engine, Gemini, to create non-linear narratives with unpredictable outcomes based on player decisions and choices. The game features note-taking capabilities for players to track clues and observations, and automatically saves sessions for easy resumption.",Web/Chrome,Enigmatic Entities,India,1
NoteIt,https://www.youtube.com/watch?v=z87wGTZk_TI,"The application allows users to quickly summarize key points from a PDF chapter, providing a clear and concise summary that can be downloaded as a document.",Web/Chrome,EduEarth,India,0
NotJusStore,https://www.youtube.com/watch?v=ynbrEjZrYhA,"The application uses Gemini API to simplify e-commerce store creation, allowing users to build their online stores in 60 seconds with features like easy product management and seamless order handling.",Firebase,Oronium,India,1
Not-pad,https://www.youtube.com/watch?v=BwxSN-uodsQ,"The application is a note-taking tool that utilizes speech-to-text and AI-powered search features to facilitate writing notes, with plans for additional features such as autocomplete and more. It also allows users to share files via email.",,Not ML,India,0
Nottri,https://www.youtube.com/watch?v=smhNuk6ljJs,"The application integrates the Gemini API into a Django project to simplify coding by allowing users to interact with it in plain language, providing real-time feedback and support.",Web/Chrome,Nottri team,India,1
